;Nome;Ano;Tempo;Nota
213;Filhos da Anarquia;2008–2014;92 episódios;8,6
214;Fórmula 1: Dirigir para Viver;2019– ;60 episódios;8,5
215;Neon Genesis Evangelion;1995–1996;26 episódios;8,5
216;Heartstopper;2022– ;24 episódios;8,6
217;Twin Peaks: O Retorno;2017;18 episódios;8,5
218;Shameless;2011–2021;134 episódios;8,5
219;Trailer Park Boys;2001–2018;106 episódios;8,5
220;Apenas um Show;2010–2017;244 episódios;8,5
221;Brass Eye;1997–2001;7 episódios;8,6
222;Skam;2015–2017;43 episódios;8,6
223;Derry Girls;2018–2022;19 episódios;8,5
224;Spartacus: Deuses da Arena;2011;6 episódios;8,5
225;North & South;2004;4 episódios;8,6
226;Schitt's Creek;2015–2020;80 episódios;8,5
227;Silicon Valley;2014–2019;53 episódios;8,5
228;Futurama;1999– ;180 episódios;8,5
229;Letterkenny;2016–2023;81 episódios;8,6
230;Fullmetal Alchemist;2003–2004;51 episódios;8,5
231;Doctor Who;2005–2022;175 episódios;8,6
232;Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen;1999;4 episódios;8,6
233;The Expanse;2015–2022;62 episódios;8,5
234;Uma Advogada Extraordinária;2022;16 episódios;8,6
235;Da Terra à Lua;1998;12 episódios;8,6
236;Hannibal;2013–2015;39 episódios;8,5
237;A Amiga Genial;2018– ;25 episódios;8,6
238;O Ensaio;2022– ;7 episódios;8,5
239;Wentworth - Por Trás das Grades;2013–2021;100 episódios;8,6
240;Vivendo nas Sombras;2014–2019;21 episódios;8,7
241;Avrupa Yakasi;2004–2009;190 episódios;8,6
242;Gintama;2005–2021;375 episódios;8,7
243;Westworld;2016–2022;36 episódios;8,5
244;Alquimia das Almas;2022– ;30 episódios;8,7
245;Shigatsu wa kimi no uso;2014–2015;24 episódios;8,5
246;Community;2009–2015;110 episódios;8,5
247;Entrelinhas pontilhadas;2021;6 episódios;8,6
248;Chef's Table;2015–2019;30 episódios;8,5
249;Mr. Sunshine - Um Raio de Sol;2018;24 episódios;8,7
